env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,-0.030471744,24.98,613.0997521877289,0.60639566,40,0.01343488,137448.05,875.9944133020338,27632,1076,-0.011578559875488281,0.0,,,,
,,,,-0.03608832,24.89,635.7756223678589,0.6138104,42,0.015095574,141001.25,876.1922111301388,28668,1118,0.05915135145187378,0.0,,,,
,,,,-0.035212427,25.18,658.4528722763062,0.6238756,40,0.016242089,134253.28,905.5365474743007,29690,1158,-0.05384933948516846,0.0,,,,
,,,,-0.032187503,24.93,681.2030498981476,0.6152396,42,0.013728269,136548.28,886.01722447611,30720,1200,0.09603649377822876,0.0,,,,
,,,,,,,,,,,,,,,,0.9316666666666666,0.8672945205479452,True,0.9316666666666666
,,,,,25.45,11.144633054733276,,20,,,941.5027097848264,509,20,,,,,,1.0
,,,,,25.175,22.446941137313843,,20,,,942.6242781614807,1007,40,,,,,,1.0
,,,,,25.283333333333335,33.610958099365234,,20,,,925.4329363147336,1517,60,,,,,,0.9833333333333333
,,,,,25.2875,44.78380489349365,,20,,,917.0554971684102,2023,80,,,,,,0.975
,,,,,25.33,55.978984117507935,,21,,,911.9320606170245,2558,101,,,,,,0.9702970297029703
